"","X","url_name","user_name","review_links","Rank","Reviews","Helpful_votes","X._helpful","last_page","scraper"
"690",690,"A1DYMH30TSRONY","Jennifer Cameron-Smith","/gp/cdp/member-reviews/A1DYMH30TSRONY/ref=cm_cr_tr_tbl_690_sar?ie=UTF8&sort_by=MostRecentReview","# 690 ",1414,7871,0.96,141,"Ryan"
"691",691,"A27D1L36PIJ8UD","Kelly","/gp/cdp/member-reviews/A27D1L36PIJ8UD/ref=cm_cr_tr_tbl_691_sar?ie=UTF8&sort_by=MostRecentReview","# 691 ",181,1867,0.96,18,"Nate"
"692",692,"A1Z3V0SOB9D9VP","Shelleyrae","/gp/cdp/member-reviews/A1Z3V0SOB9D9VP/ref=cm_cr_tr_tbl_692_sar?ie=UTF8&sort_by=MostRecentReview","# 692 ",704,3934,0.96,70,"Joe"
"693",693,"A23GRXCXQU3SM8","Smitten with Reading","/gp/cdp/member-reviews/A23GRXCXQU3SM8/ref=cm_cr_tr_tbl_693_sar?ie=UTF8&sort_by=MostRecentReview","# 693 ",1686,3374,0.96,168,"Curtis"
"694",694,"A278SLRF64I0KP","Awkward Hamster","/gp/cdp/member-reviews/A278SLRF64I0KP/ref=cm_cr_tr_tbl_694_sar?ie=UTF8&sort_by=MostRecentReview","# 694 ",174,2125,0.96,17,"Ryan"
"695",695,"ACQYIC13JXAOI","Tooncesmom","/gp/cdp/member-reviews/ACQYIC13JXAOI/ref=cm_cr_tr_tbl_695_sar?ie=UTF8&sort_by=MostRecentReview","# 695 ",884,5463,0.96,88,"Nate"
"696",696,"A3BNVMPIHDYGNQ","Windmere","/gp/cdp/member-reviews/A3BNVMPIHDYGNQ/ref=cm_cr_tr_tbl_696_sar?ie=UTF8&sort_by=MostRecentReview","# 696 ",454,4963,0.96,45,"Joe"
"697",697,"A2RQ0AT4XZUIXL","Dr. Cathy Goodwin","/gp/cdp/member-reviews/A2RQ0AT4XZUIXL/ref=cm_cr_tr_tbl_697_sar?ie=UTF8&sort_by=MostRecentReview","# 697 ",1132,15349,0.96,113,"Curtis"
"698",698,"A2E3F04ZK7FG66","calvinnme","/gp/cdp/member-reviews/A2E3F04ZK7FG66/ref=cm_cr_tr_tbl_698_sar?ie=UTF8&sort_by=MostRecentReview","# 698 ",1868,39105,0.96,186,"Ryan"
"699",699,"AQ6YJM2J2LNOP","Book Fanatic","/gp/cdp/member-reviews/AQ6YJM2J2LNOP/ref=cm_cr_tr_tbl_699_sar?ie=UTF8&sort_by=MostRecentReview","# 699 ",873,8337,0.96,87,"Nate"
"700",700,"A2IIB10X0CECYV","Debbie","/gp/cdp/member-reviews/A2IIB10X0CECYV/ref=cm_cr_tr_tbl_700_sar?ie=UTF8&sort_by=MostRecentReview","# 700 ",1306,5084,0.96,130,"Joe"
"701",701,"A1S8AJIUIO6M9K","Robert David STEELE Vivas","/gp/cdp/member-reviews/A1S8AJIUIO6M9K/ref=cm_cr_tr_tbl_701_sar?ie=UTF8&sort_by=MostRecentReview","# 701 ",2071,47689,0.96,207,"Curtis"
"702",702,"A24505CR98NLLV","Dr. Joseph S. Maresca","/gp/cdp/member-reviews/A24505CR98NLLV/ref=cm_cr_tr_tbl_702_sar?ie=UTF8&sort_by=MostRecentReview","# 702 ",2053,13316,0.96,205,"Ryan"
"703",703,"ANFJYYQ0P35CW","Chris Jaronsky","/gp/cdp/member-reviews/ANFJYYQ0P35CW/ref=cm_cr_tr_tbl_703_sar?ie=UTF8&sort_by=MostRecentReview","# 703 ",800,5173,0.96,80,"Nate"
"704",704,"AW0L3PCD6COJ5","Amazon Customer","/gp/cdp/member-reviews/AW0L3PCD6COJ5/ref=cm_cr_tr_tbl_704_sar?ie=UTF8&sort_by=MostRecentReview","# 704 ",2236,1814,0.96,223,"Joe"
"705",705,"AJ34DZU9MYMUE","Charles Nordlander","/gp/cdp/member-reviews/AJ34DZU9MYMUE/ref=cm_cr_tr_tbl_705_sar?ie=UTF8&sort_by=MostRecentReview","# 705 ",107,12472,0.96,10,"Curtis"
"706",706,"A23QII83UGZP5U","Wayne","/gp/cdp/member-reviews/A23QII83UGZP5U/ref=cm_cr_tr_tbl_706_sar?ie=UTF8&sort_by=MostRecentReview","# 706 ",201,6706,0.96,20,"Ryan"
"707",707,"A3PHF9UV3F177L","Julia Flyte","/gp/cdp/member-reviews/A3PHF9UV3F177L/ref=cm_cr_tr_tbl_707_sar?ie=UTF8&sort_by=MostRecentReview","# 707 ",753,8968,0.96,75,"Nate"
"708",708,"A2A7HUOQ2L0N7I","Chanel Chamberlin","/gp/cdp/member-reviews/A2A7HUOQ2L0N7I/ref=cm_cr_tr_tbl_708_sar?ie=UTF8&sort_by=MostRecentReview","# 708 ",1471,1323,0.96,147,"Joe"
"709",709,"A1ZPY91VE3IDN1","zhabazon","/gp/cdp/member-reviews/A1ZPY91VE3IDN1/ref=cm_cr_tr_tbl_709_sar?ie=UTF8&sort_by=MostRecentReview","# 709 ",2170,4081,0.96,217,"Curtis"
"710",710,"A231LBC8EGPO5L","OutlawPoet","/gp/cdp/member-reviews/A231LBC8EGPO5L/ref=cm_cr_tr_tbl_710_sar?ie=UTF8&sort_by=MostRecentReview","# 710 ",1661,5146,0.96,166,"Ryan"
"711",711,"AQZH7YTWQPOBE","Enjolras","/gp/cdp/member-reviews/AQZH7YTWQPOBE/ref=cm_cr_tr_tbl_711_sar?ie=UTF8&sort_by=MostRecentReview","# 711 ",3694,9814,0.96,369,"Nate"
"712",712,"A1UFUJ9Z5U53AH","Danny Lee","/gp/cdp/member-reviews/A1UFUJ9Z5U53AH/ref=cm_cr_tr_tbl_712_sar?ie=UTF8&sort_by=MostRecentReview","# 712 ",98,1222,0.96,9,"Joe"
"713",713,"A2JG0K0TJBRD5P","S. Klinger","/gp/cdp/member-reviews/A2JG0K0TJBRD5P/ref=cm_cr_tr_tbl_713_sar?ie=UTF8&sort_by=MostRecentReview","# 713 ",1331,1019,0.96,133,"Curtis"
"714",714,"A26WHR1IP0A250","Brynnlux","/gp/cdp/member-reviews/A26WHR1IP0A250/ref=cm_cr_tr_tbl_714_sar?ie=UTF8&sort_by=MostRecentReview","# 714 ",931,1489,0.96,93,"Ryan"
"715",715,"A19UTUEBWKIZFT","AKN","/gp/cdp/member-reviews/A19UTUEBWKIZFT/ref=cm_cr_tr_tbl_715_sar?ie=UTF8&sort_by=MostRecentReview","# 715 ",1229,2896,0.96,122,"Nate"
"716",716,"AHN86VFJIJ2JP","Chicago Book Addict","/gp/cdp/member-reviews/AHN86VFJIJ2JP/ref=cm_cr_tr_tbl_716_sar?ie=UTF8&sort_by=MostRecentReview","# 716 ",1264,4570,0.96,126,"Joe"
"717",717,"ADKZOXAOV8EXD","Doctor.Generosity","/gp/cdp/member-reviews/ADKZOXAOV8EXD/ref=cm_cr_tr_tbl_717_sar?ie=UTF8&sort_by=MostRecentReview","# 717 ",555,7803,0.96,55,"Curtis"
"718",718,"A2Q3WSU5PS2MZO","outwest","/gp/cdp/member-reviews/A2Q3WSU5PS2MZO/ref=cm_cr_tr_tbl_718_sar?ie=UTF8&sort_by=MostRecentReview","# 718 ",245,3045,0.96,24,"Ryan"
"719",719,"AB094YABX21WQ","J G  ''Highflyer''","/gp/cdp/member-reviews/AB094YABX21WQ/ref=cm_cr_tr_tbl_719_sar?ie=UTF8&sort_by=MostRecentReview","# 719 ",727,2481,0.96,72,"Nate"
"720",720,"A3ICDLUQ3V2QY2","Kevin L. Nenstiel","/gp/cdp/member-reviews/A3ICDLUQ3V2QY2/ref=cm_cr_tr_tbl_720_sar?ie=UTF8&sort_by=MostRecentReview","# 720 ",1578,12869,0.96,157,"Joe"
"721",721,"A2KNQJAOR4741E","WifeNC","/gp/cdp/member-reviews/A2KNQJAOR4741E/ref=cm_cr_tr_tbl_721_sar?ie=UTF8&sort_by=MostRecentReview","# 721 ",252,1548,0.96,25,"Curtis"
"722",722,"A3DN9249F3X716","C. K. Lidster","/gp/cdp/member-reviews/A3DN9249F3X716/ref=cm_cr_tr_tbl_722_sar?ie=UTF8&sort_by=MostRecentReview","# 722 ",332,2328,0.96,33,"Ryan"
"723",723,"A2B7BUH8834Y6M","Geekier than thou","/gp/cdp/member-reviews/A2B7BUH8834Y6M/ref=cm_cr_tr_tbl_723_sar?ie=UTF8&sort_by=MostRecentReview","# 723 ",1655,14736,0.96,165,"Nate"
"724",724,"AWBGHDHH7E51F","Trend","/gp/cdp/member-reviews/AWBGHDHH7E51F/ref=cm_cr_tr_tbl_724_sar?ie=UTF8&sort_by=MostRecentReview","# 724 ",491,4424,0.96,49,"Joe"
"725",725,"AR3EVUQF0AC7R","morning fog","/gp/cdp/member-reviews/AR3EVUQF0AC7R/ref=cm_cr_tr_tbl_725_sar?ie=UTF8&sort_by=MostRecentReview","# 725 ",400,2304,0.96,40,"Curtis"
"726",726,"A4IL0CLL27Q33","D. Brennan","/gp/cdp/member-reviews/A4IL0CLL27Q33/ref=cm_cr_tr_tbl_726_sar?ie=UTF8&sort_by=MostRecentReview","# 726 ",619,3932,0.96,61,"Ryan"
"727",727,"A1JV4QKTEB7QBL","Diana Faillace Von Behren","/gp/cdp/member-reviews/A1JV4QKTEB7QBL/ref=cm_cr_tr_tbl_727_sar?ie=UTF8&sort_by=MostRecentReview","# 727 ",1125,14172,0.96,112,"Nate"
"728",728,"A3Q4TYJVAM4IRM","Omar Siddique","/gp/cdp/member-reviews/A3Q4TYJVAM4IRM/ref=cm_cr_tr_tbl_728_sar?ie=UTF8&sort_by=MostRecentReview","# 728 ",959,5769,0.96,95,"Joe"
"729",729,"A1VS1LL905P5L5","hyytekk","/gp/cdp/member-reviews/A1VS1LL905P5L5/ref=cm_cr_tr_tbl_729_sar?ie=UTF8&sort_by=MostRecentReview","# 729 ",393,3384,0.96,39,"Curtis"
"730",730,"A1D9V11QUHXENQ","A Customer","/gp/cdp/member-reviews/A1D9V11QUHXENQ/ref=cm_cr_tr_tbl_730_sar?ie=UTF8&sort_by=MostRecentReview","# 730 ",514,3517,0.96,51,"Ryan"
"731",731,"A1MJMYLRTZ76ZX","Magellan","/gp/cdp/member-reviews/A1MJMYLRTZ76ZX/ref=cm_cr_tr_tbl_731_sar?ie=UTF8&sort_by=MostRecentReview","# 731 ",2012,20014,0.96,201,"Nate"
"732",732,"AGBB5TC7F7PDV","Hello Happy","/gp/cdp/member-reviews/AGBB5TC7F7PDV/ref=cm_cr_tr_tbl_732_sar?ie=UTF8&sort_by=MostRecentReview","# 732 ",603,2729,0.96,60,"Joe"
"733",733,"A2OBDNQ5ZYU1L8","Diana De Avila","/gp/cdp/member-reviews/A2OBDNQ5ZYU1L8/ref=cm_cr_tr_tbl_733_sar?ie=UTF8&sort_by=MostRecentReview","# 733 ",1164,6136,0.96,116,"Curtis"
"734",734,"A265NE6H6LYX87","Tamela Mccann","/gp/cdp/member-reviews/A265NE6H6LYX87/ref=cm_cr_tr_tbl_734_sar?ie=UTF8&sort_by=MostRecentReview","# 734 ",840,7682,0.96,84,"Ryan"
"735",735,"AG7ZF2YS4DE56","Bleaum","/gp/cdp/member-reviews/AG7ZF2YS4DE56/ref=cm_cr_tr_tbl_735_sar?ie=UTF8&sort_by=MostRecentReview","# 735 ",967,1839,0.96,96,"Nate"
"736",736,"AK0CENM3LUM28","Amazon Customer","/gp/cdp/member-reviews/AK0CENM3LUM28/ref=cm_cr_tr_tbl_736_sar?ie=UTF8&sort_by=MostRecentReview","# 736 ",1169,12449,0.96,116,"Joe"
"737",737,"A291H4XSTIHHHS","William D. Thompson","/gp/cdp/member-reviews/A291H4XSTIHHHS/ref=cm_cr_tr_tbl_737_sar?ie=UTF8&sort_by=MostRecentReview","# 737 ",646,1178,0.96,64,"Curtis"
"738",738,"A1ORZKYPMHLRUC","Jancal","/gp/cdp/member-reviews/A1ORZKYPMHLRUC/ref=cm_cr_tr_tbl_738_sar?ie=UTF8&sort_by=MostRecentReview","# 738 ",373,1759,0.96,37,"Ryan"
"739",739,"AYG1U47VFZ165","A Customer","/gp/cdp/member-reviews/AYG1U47VFZ165/ref=cm_cr_tr_tbl_739_sar?ie=UTF8&sort_by=MostRecentReview","# 739 ",1293,8464,0.96,129,"Nate"
"740",740,"ACEA95FQS1AVP","Jem","/gp/cdp/member-reviews/ACEA95FQS1AVP/ref=cm_cr_tr_tbl_740_sar?ie=UTF8&sort_by=MostRecentReview","# 740 ",1275,7404,0.96,127,"Joe"
"741",741,"A2RS87XCXBAIBB","Angela","/gp/cdp/member-reviews/A2RS87XCXBAIBB/ref=cm_cr_tr_tbl_741_sar?ie=UTF8&sort_by=MostRecentReview","# 741 ",943,1658,0.96,94,"Curtis"
"742",742,"AD3PHHFTCOBT6","Brittany Nicole Bobier","/gp/cdp/member-reviews/AD3PHHFTCOBT6/ref=cm_cr_tr_tbl_742_sar?ie=UTF8&sort_by=MostRecentReview","# 742 ",246,1595,0.96,24,"Ryan"
"743",743,"A2WHV0YLBOK0I0","Inspiring Insomnia","/gp/cdp/member-reviews/A2WHV0YLBOK0I0/ref=cm_cr_tr_tbl_743_sar?ie=UTF8&sort_by=MostRecentReview","# 743 ",605,4639,0.96,60,"Nate"
"744",744,"AEYEAH3C78BBZ","Tim Challies","/gp/cdp/member-reviews/AEYEAH3C78BBZ/ref=cm_cr_tr_tbl_744_sar?ie=UTF8&sort_by=MostRecentReview","# 744 ",781,29023,0.96,78,"Joe"
"745",745,"A3QS4WWC1LCA6H","Eric C. Sedensky","/gp/cdp/member-reviews/A3QS4WWC1LCA6H/ref=cm_cr_tr_tbl_745_sar?ie=UTF8&sort_by=MostRecentReview","# 745 ",946,4409,0.96,94,"Curtis"
"746",746,"AL7R5LO0AUGKQ","M.","/gp/cdp/member-reviews/AL7R5LO0AUGKQ/ref=cm_cr_tr_tbl_746_sar?ie=UTF8&sort_by=MostRecentReview","# 746 ",204,1720,0.96,20,"Ryan"
"747",747,"AMQ0ZX70FZZZ5","lauras930","/gp/cdp/member-reviews/AMQ0ZX70FZZZ5/ref=cm_cr_tr_tbl_747_sar?ie=UTF8&sort_by=MostRecentReview","# 747 ",576,1466,0.96,57,"Nate"
"748",748,"A356RFKNIG043B","K. Swanson","/gp/cdp/member-reviews/A356RFKNIG043B/ref=cm_cr_tr_tbl_748_sar?ie=UTF8&sort_by=MostRecentReview","# 748 ",1188,6696,0.96,118,"Joe"
"749",749,"A03714092TYV8O7VFHPR9","Susie Sunshine","/gp/cdp/member-reviews/A03714092TYV8O7VFHPR9/ref=cm_cr_tr_tbl_749_sar?ie=UTF8&sort_by=MostRecentReview","# 749 ",917,1737,0.96,91,"Curtis"
"750",750,"A1LNKKDBF2KOK3","M. Downey","/gp/cdp/member-reviews/A1LNKKDBF2KOK3/ref=cm_cr_tr_tbl_750_sar?ie=UTF8&sort_by=MostRecentReview","# 750 ",342,1338,0.96,34,"Ryan"
"751",751,"AFN32PGTZ31MV","B. Capossere","/gp/cdp/member-reviews/AFN32PGTZ31MV/ref=cm_cr_tr_tbl_751_sar?ie=UTF8&sort_by=MostRecentReview","# 751 ",902,12625,0.96,90,"Nate"
"752",752,"A2FALXJL2B96ON","Jennifer","/gp/cdp/member-reviews/A2FALXJL2B96ON/ref=cm_cr_tr_tbl_752_sar?ie=UTF8&sort_by=MostRecentReview","# 752 ",85,921,0.96,8,"Joe"
"753",753,"A2AIMXT9PLAM12","Santa Fe Listener","/gp/cdp/member-reviews/A2AIMXT9PLAM12/ref=cm_cr_tr_tbl_753_sar?ie=UTF8&sort_by=MostRecentReview","# 753 ",5539,26770,0.96,553,"Curtis"
"754",754,"A1N5FSCYN4796F","Philip R. Heath","/gp/cdp/member-reviews/A1N5FSCYN4796F/ref=cm_cr_tr_tbl_754_sar?ie=UTF8&sort_by=MostRecentReview","# 754 ",901,9963,0.96,90,"Ryan"
"755",755,"A3D6JJHCWI4RFV","Waikiki","/gp/cdp/member-reviews/A3D6JJHCWI4RFV/ref=cm_cr_tr_tbl_755_sar?ie=UTF8&sort_by=MostRecentReview","# 755 ",222,2376,0.96,22,"Nate"
"756",756,"A298GL2D0BHGKZ","Freakonforfatty","/gp/cdp/member-reviews/A298GL2D0BHGKZ/ref=cm_cr_tr_tbl_756_sar?ie=UTF8&sort_by=MostRecentReview","# 756 ",348,4131,0.96,34,"Joe"
"757",757,"A2JP0URFHXP6DO","Tim Janson","/gp/cdp/member-reviews/A2JP0URFHXP6DO/ref=cm_cr_tr_tbl_757_sar?ie=UTF8&sort_by=MostRecentReview","# 757 ",2301,19712,0.96,230,"Curtis"
"758",758,"A2ZL07Y7FE7W3S","Thomas E. Davis","/gp/cdp/member-reviews/A2ZL07Y7FE7W3S/ref=cm_cr_tr_tbl_758_sar?ie=UTF8&sort_by=MostRecentReview","# 758 ",444,6870,0.96,44,"Ryan"
"759",759,"AS6H3NGQ8V1PK","GiveMeBooks","/gp/cdp/member-reviews/AS6H3NGQ8V1PK/ref=cm_cr_tr_tbl_759_sar?ie=UTF8&sort_by=MostRecentReview","# 759 ",1457,1505,0.96,145,"Nate"
"760",760,"A10H47FMW8NHII","Jay B. Lane","/gp/cdp/member-reviews/A10H47FMW8NHII/ref=cm_cr_tr_tbl_760_sar?ie=UTF8&sort_by=MostRecentReview","# 760 ",757,7435,0.96,75,"Joe"
"761",761,"A2DSXA1E02C86D","Mr. Joe","/gp/cdp/member-reviews/A2DSXA1E02C86D/ref=cm_cr_tr_tbl_761_sar?ie=UTF8&sort_by=MostRecentReview","# 761 ",1537,21568,0.96,153,"Curtis"
"762",762,"AIMR915K4YCN","Bindy Sue Frønkünschtein","/gp/cdp/member-reviews/AIMR915K4YCN/ref=cm_cr_tr_tbl_762_sar?ie=UTF8&sort_by=MostRecentReview","# 762 ",2976,8901,0.96,297,"Ryan"
"763",763,"A3R4GS2F5N5SWX","Ms. M. N.","/gp/cdp/member-reviews/A3R4GS2F5N5SWX/ref=cm_cr_tr_tbl_763_sar?ie=UTF8&sort_by=MostRecentReview","# 763 ",395,1225,0.96,39,"Nate"
"764",764,"AR5XJEZR0LWWW","Mark","/gp/cdp/member-reviews/AR5XJEZR0LWWW/ref=cm_cr_tr_tbl_764_sar?ie=UTF8&sort_by=MostRecentReview","# 764 ",301,3330,0.96,30,"Joe"
"765",765,"A2REQUI85URT87","Great Faulkner's Ghost","/gp/cdp/member-reviews/A2REQUI85URT87/ref=cm_cr_tr_tbl_765_sar?ie=UTF8&sort_by=MostRecentReview","# 765 ",573,7471,0.96,57,"Curtis"
"766",766,"A3UCCGOG903V0W","Kevin Davis","/gp/cdp/member-reviews/A3UCCGOG903V0W/ref=cm_cr_tr_tbl_766_sar?ie=UTF8&sort_by=MostRecentReview","# 766 ",1027,4354,0.96,102,"Ryan"
"767",767,"A2BD4PA680QAY1","Passau","/gp/cdp/member-reviews/A2BD4PA680QAY1/ref=cm_cr_tr_tbl_767_sar?ie=UTF8&sort_by=MostRecentReview","# 767 ",318,2177,0.96,31,"Nate"
"768",768,"AN3D3M8MJ07BQ","Red Rock Bookworm","/gp/cdp/member-reviews/AN3D3M8MJ07BQ/ref=cm_cr_tr_tbl_768_sar?ie=UTF8&sort_by=MostRecentReview","# 768 ",795,7603,0.96,79,"Joe"
"769",769,"A13MKSASQ6YWL7","B.Willis","/gp/cdp/member-reviews/A13MKSASQ6YWL7/ref=cm_cr_tr_tbl_769_sar?ie=UTF8&sort_by=MostRecentReview","# 769 ",624,5129,0.96,62,"Curtis"
"770",770,"A20O7GFP55GFZB","Graham H. Seibert","/gp/cdp/member-reviews/A20O7GFP55GFZB/ref=cm_cr_tr_tbl_770_sar?ie=UTF8&sort_by=MostRecentReview","# 770 ",278,8604,0.96,27,"Ryan"
"771",771,"AU3GYRAKBUAEU","Jon Norris","/gp/cdp/member-reviews/AU3GYRAKBUAEU/ref=cm_cr_tr_tbl_771_sar?ie=UTF8&sort_by=MostRecentReview","# 771 ",663,10761,0.96,66,"Nate"
"772",772,"A3PEOF0GX4EN38","Aalea1","/gp/cdp/member-reviews/A3PEOF0GX4EN38/ref=cm_cr_tr_tbl_772_sar?ie=UTF8&sort_by=MostRecentReview","# 772 ",1019,8169,0.96,101,"Joe"
"773",773,"A34GM17T6WTJDK","Amazon Customer","/gp/cdp/member-reviews/A34GM17T6WTJDK/ref=cm_cr_tr_tbl_773_sar?ie=UTF8&sort_by=MostRecentReview","# 773 ",648,3010,0.96,64,"Curtis"
"774",774,"A195EZSQDW3E21","Rick Bennette","/gp/cdp/member-reviews/A195EZSQDW3E21/ref=cm_cr_tr_tbl_774_sar?ie=UTF8&sort_by=MostRecentReview","# 774 ",298,4096,0.96,29,"Ryan"
"775",775,"A2UNWFVHL0JWBH","S. Johnson","/gp/cdp/member-reviews/A2UNWFVHL0JWBH/ref=cm_cr_tr_tbl_775_sar?ie=UTF8&sort_by=MostRecentReview","# 775 ",627,1154,0.96,62,"Nate"
"776",776,"A1VQBEW0G4IH1J","J-J-J-Jinx","/gp/cdp/member-reviews/A1VQBEW0G4IH1J/ref=cm_cr_tr_tbl_776_sar?ie=UTF8&sort_by=MostRecentReview","# 776 ",1820,3766,0.96,182,"Joe"
"777",777,"AOEDWQLH2WKKW","Eric T","/gp/cdp/member-reviews/AOEDWQLH2WKKW/ref=cm_cr_tr_tbl_777_sar?ie=UTF8&sort_by=MostRecentReview","# 777 ",583,4452,0.96,58,"Curtis"
"778",778,"A9O1Q1QUUVZC9","Texaswomyn","/gp/cdp/member-reviews/A9O1Q1QUUVZC9/ref=cm_cr_tr_tbl_778_sar?ie=UTF8&sort_by=MostRecentReview","# 778 ",739,2138,0.96,73,"Ryan"
"779",779,"A20MYQH9P8AQPZ","Courtney","/gp/cdp/member-reviews/A20MYQH9P8AQPZ/ref=cm_cr_tr_tbl_779_sar?ie=UTF8&sort_by=MostRecentReview","# 779 ",1207,1028,0.96,120,"Nate"
"780",780,"A2IAHIO9LCK1VO","Karen","/gp/cdp/member-reviews/A2IAHIO9LCK1VO/ref=cm_cr_tr_tbl_780_sar?ie=UTF8&sort_by=MostRecentReview","# 780 ",458,2273,0.96,45,"Joe"
"781",781,"A14PRVP4JK88E7","Rafase282","/gp/cdp/member-reviews/A14PRVP4JK88E7/ref=cm_cr_tr_tbl_781_sar?ie=UTF8&sort_by=MostRecentReview","# 781 ",2594,2802,0.96,259,"Curtis"
"782",782,"AUYT2H281GPNJ","Rockster","/gp/cdp/member-reviews/AUYT2H281GPNJ/ref=cm_cr_tr_tbl_782_sar?ie=UTF8&sort_by=MostRecentReview","# 782 ",274,2623,0.96,27,"Ryan"
"783",783,"A1P4F6HIXU6WYE","Lee Mellott","/gp/cdp/member-reviews/A1P4F6HIXU6WYE/ref=cm_cr_tr_tbl_783_sar?ie=UTF8&sort_by=MostRecentReview","# 783 ",561,17538,0.96,56,"Nate"
"784",784,"A1MRPX3RM48T2I","Winter","/gp/cdp/member-reviews/A1MRPX3RM48T2I/ref=cm_cr_tr_tbl_784_sar?ie=UTF8&sort_by=MostRecentReview","# 784 ",611,5657,0.96,61,"Joe"
"785",785,"A2OS3TIVAKUAHG","J. York","/gp/cdp/member-reviews/A2OS3TIVAKUAHG/ref=cm_cr_tr_tbl_785_sar?ie=UTF8&sort_by=MostRecentReview","# 785 ",598,4233,0.96,59,"Curtis"
"786",786,"A3R19YKNL641X3","Thomas Duff","/gp/cdp/member-reviews/A3R19YKNL641X3/ref=cm_cr_tr_tbl_786_sar?ie=UTF8&sort_by=MostRecentReview","# 786 ",2587,19099,0.96,258,"Ryan"
"787",787,"A1IXJK1NYTSMJU","Ed Osworth","/gp/cdp/member-reviews/A1IXJK1NYTSMJU/ref=cm_cr_tr_tbl_787_sar?ie=UTF8&sort_by=MostRecentReview","# 787 ",153,7514,0.96,15,"Nate"
"788",788,"A2Q2A6JKY95RTP","Raul G.","/gp/cdp/member-reviews/A2Q2A6JKY95RTP/ref=cm_cr_tr_tbl_788_sar?ie=UTF8&sort_by=MostRecentReview","# 788 ",513,3405,0.96,51,"Joe"
"789",789,"A3EFSLEMHNPP6A","Senor Zoidbergo","/gp/cdp/member-reviews/A3EFSLEMHNPP6A/ref=cm_cr_tr_tbl_789_sar?ie=UTF8&sort_by=MostRecentReview","# 789 ",528,10347,0.96,52,"Curtis"
"790",790,"A3HRDRQ5VAFPQS","2WheelTraveler","/gp/cdp/member-reviews/A3HRDRQ5VAFPQS/ref=cm_cr_tr_tbl_790_sar?ie=UTF8&sort_by=MostRecentReview","# 790 ",596,2840,0.96,59,"Ryan"
"791",791,"A2KOV8XWZOZ0FQ","Juniorverse1","/gp/cdp/member-reviews/A2KOV8XWZOZ0FQ/ref=cm_cr_tr_tbl_791_sar?ie=UTF8&sort_by=MostRecentReview","# 791 ",626,3680,0.96,62,"Nate"
"792",792,"A3U029B8Z5WGI2","Katherine Chan","/gp/cdp/member-reviews/A3U029B8Z5WGI2/ref=cm_cr_tr_tbl_792_sar?ie=UTF8&sort_by=MostRecentReview","# 792 ",1174,2991,0.96,117,"Joe"
"793",793,"A3HU0B9XUEVHIM","Andre S. Grindle","/gp/cdp/member-reviews/A3HU0B9XUEVHIM/ref=cm_cr_tr_tbl_793_sar?ie=UTF8&sort_by=MostRecentReview","# 793 ",3065,6364,0.96,306,"Curtis"
"794",794,"A2AINLLX0560S1","Graydon Blair","/gp/cdp/member-reviews/A2AINLLX0560S1/ref=cm_cr_tr_tbl_794_sar?ie=UTF8&sort_by=MostRecentReview","# 794 ",134,1667,0.96,13,"Ryan"
"795",795,"A2RYWPOL4NN2KG","Frogsong","/gp/cdp/member-reviews/A2RYWPOL4NN2KG/ref=cm_cr_tr_tbl_795_sar?ie=UTF8&sort_by=MostRecentReview","# 795 ",1529,1515,0.96,152,"Nate"
"796",796,"A2BAAKZHSUGCDP","Jill Clardy","/gp/cdp/member-reviews/A2BAAKZHSUGCDP/ref=cm_cr_tr_tbl_796_sar?ie=UTF8&sort_by=MostRecentReview","# 796 ",1015,2705,0.96,101,"Joe"
"797",797,"A3DST6QFD1KFDE","Nifty Thrifty","/gp/cdp/member-reviews/A3DST6QFD1KFDE/ref=cm_cr_tr_tbl_797_sar?ie=UTF8&sort_by=MostRecentReview","# 797 ",606,1061,0.96,60,"Curtis"
"798",798,"A198CCH4NNLI2E","Jonathan Birge","/gp/cdp/member-reviews/A198CCH4NNLI2E/ref=cm_cr_tr_tbl_798_sar?ie=UTF8&sort_by=MostRecentReview","# 798 ",356,6270,0.96,35,"Ryan"
"799",799,"A23XCUSIRPREG8","Amy Tucker","/gp/cdp/member-reviews/A23XCUSIRPREG8/ref=cm_cr_tr_tbl_799_sar?ie=UTF8&sort_by=MostRecentReview","# 799 ",875,1122,0.96,87,"Nate"
"800",800,"A1MW215W7L41T1","Thais Macpherson","/gp/cdp/member-reviews/A1MW215W7L41T1/ref=cm_cr_tr_tbl_800_sar?ie=UTF8&sort_by=MostRecentReview","# 800 ",142,1140,0.96,14,"Joe"
"801",801,"A3NOBH42C7UI5M","Kepela","/gp/cdp/member-reviews/A3NOBH42C7UI5M/ref=cm_cr_tr_tbl_801_sar?ie=UTF8&sort_by=MostRecentReview","# 801 ",903,4441,0.96,90,"Curtis"
"802",802,"A2GP6XJ1V3MM3L","BumbleB","/gp/cdp/member-reviews/A2GP6XJ1V3MM3L/ref=cm_cr_tr_tbl_802_sar?ie=UTF8&sort_by=MostRecentReview","# 802 ",397,5482,0.96,39,"Ryan"
"803",803,"A3NKRH3TJ4DPVI","Book Glutton","/gp/cdp/member-reviews/A3NKRH3TJ4DPVI/ref=cm_cr_tr_tbl_803_sar?ie=UTF8&sort_by=MostRecentReview","# 803 ",810,2251,0.96,81,"Nate"
