"text","rating","review_date","product_id","review_id","reviewer","review_page","trouble"
"0","0","0","0","0","A3DI391K4GAI7Q","http://www.amazon.com/gp/cdp/member-reviews/A3DI391K4GAI7Q?ie=UTF8&display=public&page=1&sort_by=MostRecentReview","banned"
"0","0","0","0","0","A3DI391K4GAI7Q","http://www.amazon.com/gp/cdp/member-reviews/A3DI391K4GAI7Q?ie=UTF8&display=public&page=2&sort_by=MostRecentReview","banned"
"0","0","0","0","0","A3DI391K4GAI7Q","http://www.amazon.com/gp/cdp/member-reviews/A3DI391K4GAI7Q?ie=UTF8&display=public&page=3&sort_by=MostRecentReview","banned"
"Amazon Basics nails it with their updated version of the lightning cable for charging and syncing Apple devices. Great tight connections, nicely soft and flexible, and 100% Apple certified so you don't get those pesky warnings that your cable might not be working. Best of all, this new version of the Amazon Basics brand cable features a nice thin profile connector so it plugs in no matter what protective case you've chosen to use. A great cable at a great price!","5.0 out of 5 stars","September 1, 2015","http://www.amazon.com/review/R2OFGHNWD7KHWH/ref=cm_aya_cmt?ie=UTF8&ASIN=B010S9N6OO#wasThisHelpful","R2OFGHNWD7KHWH","A3DI391K4GAI7Q","http://www.amazon.com/gp/cdp/member-reviews/A3DI391K4GAI7Q?ie=UTF8&display=public&page=4&sort_by=MostRecentReview","correct"
"What a simple idea! It's exactly what we needed for our bathroom as we have no counter space (just a pedestal sink). The hairdryer was either continuously sitting inside the sink or sitting on the floor. This nifty little invention looks great and gives us a perfect holster for our previously ""always in the way"" hairdryer. This should be standard issue in all smaller bathrooms. Love it!","5.0 out of 5 stars","August 20, 2015","http://www.amazon.com/review/R2N0X6NBA164SN/ref=cm_aya_cmt?ie=UTF8&ASIN=B007TAQZ8A#wasThisHelpful","R2N0X6NBA164SN","A3DI391K4GAI7Q","http://www.amazon.com/gp/cdp/member-reviews/A3DI391K4GAI7Q?ie=UTF8&display=public&page=4&sort_by=MostRecentReview","correct"
"Though I normally enjoy Wrangler jeans, these shorts are oddly proportioned, so much so that I couldn't even successfully get them on. The sizing runs way too small (at least a size to size and a half) as compared to similar products by Lee, Old Navy, Gap, and American Eagle. The cut is very tight through the seat and thigh. Though they seem to be quality made, sadly I will not be wearing these. Only for those with a thin physique and not very well developed thigh muscles.","2.0 out of 5 stars","August 20, 2015","http://www.amazon.com/review/R3H2O4CVW1E2GR/ref=cm_aya_cmt?ie=UTF8&ASIN=B00XKY8LNG#wasThisHelpful","R3H2O4CVW1E2GR","A3DI391K4GAI7Q","http://www.amazon.com/gp/cdp/member-reviews/A3DI391K4GAI7Q?ie=UTF8&display=public&page=4&sort_by=MostRecentReview","correct"
"I am admittedly not a huge fan of this new ""pacs"" packaging that's happening in the detergent aisle, but I must say that these work really well. The pac seems to dissolve better than others I've used, so no weird glop of goo left over after washing stuck to your laundry. Truly free and clear - this stuff has no coloring or detectable fragrance - yet it powers through stains just as well as regular ""All"", if not better. We've got one memeber of the family that has super sensitive skin and this detergent passed his test. No irritation whatsoever. It's great that something can be so gentle yet so effective. A great product. Highly recommended.","5.0 out of 5 stars","August 20, 2015","http://www.amazon.com/review/RQ343LVVYV0MF/ref=cm_aya_cmt?ie=UTF8&ASIN=B00TBBWTI0#wasThisHelpful","RQ343LVVYV0MF","A3DI391K4GAI7Q","http://www.amazon.com/gp/cdp/member-reviews/A3DI391K4GAI7Q?ie=UTF8&display=public&page=4&sort_by=MostRecentReview","correct"
"Fresh, clean, and invigorating - this shampoo and conditioner leaves my hair looking great and my scalp invigorated and fresh. Cloudy green in color, this shampoo pours out thick and fresh smelling. Very botanical, light, and pleasant, with a hint of mint. After it's lathered up, the mint really kicks in with a eucalyptus-like tingle on the scalp that gets stronger and stronger the longer you leave it in. It rinses clean, not heavy or oily like after some conditioners, yet still managed to keep my hair looking nice and behaving manageable. One of my favorite Axe products so far. High quality. Behaves like a shampoo three times the price. Highly recommended!","5.0 out of 5 stars","August 19, 2015","http://www.amazon.com/review/R1KH5DPVI04ACK/ref=cm_aya_cmt?ie=UTF8&ASIN=B00Q70QKBK#wasThisHelpful","R1KH5DPVI04ACK","A3DI391K4GAI7Q","http://www.amazon.com/gp/cdp/member-reviews/A3DI391K4GAI7Q?ie=UTF8&display=public&page=4&sort_by=MostRecentReview","correct"
"Quite nice and sturdy feeling, heavy, and larger than I anticipated. I installed this above my garage entry door and it's been working like a charm. Very bright without being blinding, this is a great task light to help you see the your keyhole at night, or works well as a security light to scare off unwanted guests around the exterior of your home. I am going to get another one of these to install above our trash cans for added security. Easy to mount, weather proof, and solid build quality. A nice value. (One added word of advice: The sensor does not work through glass. I tried installing this inside my foyer pointing out to the entryway through a pane of glass and the only time it would trigger the light was when movement was detected as a reflection from the inside.)","4.0 out of 5 stars","August 15, 2015","http://www.amazon.com/review/R3F31QFHCMX2OT/ref=cm_aya_cmt?ie=UTF8&ASIN=B00NTE4X5C#wasThisHelpful","R3F31QFHCMX2OT","A3DI391K4GAI7Q","http://www.amazon.com/gp/cdp/member-reviews/A3DI391K4GAI7Q?ie=UTF8&display=public&page=4&sort_by=MostRecentReview","correct"
"I purchased this toaster three years ago for our vacation home. It still looks brand new as it has seen very little use. In reality, probably not been used more than 50 cycles in three years. Though the look of the toaster is top-notch and it seems well-built on the outside, the lights have stopped illuminating correctly. Press the bagel button, and though the toaster still toasts the bagel as it should, nothing lights up to let you know it is actally in the bagel toasting mode. Quite annoying for a relatively expensive appliance that has seen very little use.I contacted Breville and they offered to fix it for $59, which is almost half the cost of a new toaster. I'm not at all happy with their customer service or with the longevity of their products. This experience will definitely keep me from purchasing further Breville products as I think they are a company more concerned with outside looks than inside quality and durability and refuse to fully stand behind their products. This is clearly an issue of initial workmanship and a lack of quality control. I am shocked that a company that sells premium priced products won't stand behind their workmanship and quality. Very disappointed.","1.0 out of 5 stars","August 12, 2015","http://www.amazon.com/review/R1SPB4VV4L9ZIH/ref=cm_aya_cmt?ie=UTF8&ASIN=B00140SC64#wasThisHelpful","R1SPB4VV4L9ZIH","A3DI391K4GAI7Q","http://www.amazon.com/gp/cdp/member-reviews/A3DI391K4GAI7Q?ie=UTF8&display=public&page=4&sort_by=MostRecentReview","correct"
